task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
54	7f/b99108	189192	kraken_pipeline:kraken2_client (23)	COMPLETED	0	2023-09-25 04:18:05.830	16.2s	15.6s	103.0%	406.1 MB	2.4 GB	44.1 MB	24.9 MB
142	81/eaab2b	192340	kraken_pipeline:stop_kraken_server	COMPLETED	0	2023-09-25 04:18:22.280	644ms	19ms	80.0%	1.1 MB	3.8 MB	70.3 KB	261 B
32	a6/2ddd6a	107474	kraken_pipeline:kraken_server	COMPLETED	0	2023-09-25 04:10:12.381	8m 11s	8m 10s	19.3%	565.1 MB	1.5 GB	148.6 MB	5.9 KB
136	10/2c4938	186530	kraken_pipeline:progressive_bracken (15)	COMPLETED	0	2023-09-25 04:17:55.674	31.1s	29.9s	111.9%	403.6 MB	2.4 GB	458.2 MB	25 MB
139	87/98201d	191264	kraken_pipeline:progressive_stats (22)	COMPLETED	0	2023-09-25 04:18:18.074	16.4s	15s	104.2%	414.3 MB	2.4 GB	44.2 MB	25 MB
140	a6/c308ab	191539	kraken_pipeline:progressive_kraken_reports (22)	COMPLETED	0	2023-09-25 04:18:19.131	17.1s	15.5s	104.3%	408.1 MB	2.4 GB	44.1 MB	24.9 MB
143	65/b45368	193058	kraken_pipeline:makeReport (15)	COMPLETED	0	2023-09-25 04:18:26.826	22.3s	21.1s	102.8%	405.2 MB	2.4 GB	46.1 MB	28 MB
147	18/90e3a2	196759	kraken_pipeline:output (17)	COMPLETED	0	2023-09-25 04:18:49.216	912ms	7ms	88.9%	0	0	55.7 KB	201 B
145	70/832cb4	194470	kraken_pipeline:progressive_stats (23)	COMPLETED	0	2023-09-25 04:18:34.674	15.8s	14.6s	105.0%	406.9 MB	2.4 GB	44.2 MB	25 MB
146	b2/8d9153	195029	kraken_pipeline:progressive_kraken_reports (23)	COMPLETED	0	2023-09-25 04:18:36.537	15.3s	14.2s	105.8%	416 MB	2.4 GB	44.1 MB	24.9 MB
144	29/d45206	193099	kraken_pipeline:progressive_bracken (16)	COMPLETED	0	2023-09-25 04:18:27.022	28.2s	26.9s	112.8%	410.5 MB	2.4 GB	454.2 MB	24.9 MB
148	9a/c8ee0c	197116	kraken_pipeline:makeReport (16)	COMPLETED	0	2023-09-25 04:18:55.273	18.7s	17.6s	105.8%	410.2 MB	2.4 GB	46.1 MB	28 MB
150	48/50a705	198721	kraken_pipeline:output (18)	COMPLETED	0	2023-09-25 04:19:14.013	902ms	8ms	72.7%	0	0	55.7 KB	201 B
